id,created_at,text
1202404461122969600x,2019-12-05 01:48:57,b'Me; don\xe2\x80\x99t eat in my \xf0\x9f\x9a\x97\nCandice; \xf0\x9f\x91\x8d \nAlso Candice; \xf0\x9f\x8d\xa3 https://t.co/nrNR1mMjvY'
1202380970197807104x,2019-12-05 00:15:37,"b""@MarthaHunt do you mean saving videos/footage from videos you've uploaded??  like for archival purposes?"""
1202366268847747072x,2019-12-04 23:17:12,b'listen to Adam Sandler talk about @JOSH_BENNY !! https://t.co/syHtN6BTFI'
1202362215791120384x,2019-12-04 23:01:05,"b'\xf0\x9f\x91\x8f one of my fav movies ever\xf0\x9f\x91\x8f\n\nBravo @JOSH_BENNY &lt;- (friends since forever, now they\xe2\x80\x99re big time movie directors!!!) https://t.co/awcqWEM2qb'"
1202340198761160704x,2019-12-04 21:33:36,b'grateful \xf0\x9f\x8c\xaf https://t.co/FqV166NUen'
1202336121897664513x,2019-12-04 21:17:24,b'really appreciate youtube trolling itself over Rewind. https://t.co/I7g8C58DgL'
1202328362095534080x,2019-12-04 20:46:34,b'@mcwm odd job obviously.  take them out at the knees.'
1202328109174775808x,2019-12-04 20:45:34,b'ok boomer'
1202327952186171393x,2019-12-04 20:44:56,"b""It's 2019 and I still only think GoldenEye on N64 when I  hear the James Bond music -- https://t.co/WWhp7grrOU"""
1202314045124005888x,2019-12-04 19:49:40,b'@aaronkaiser appreciate the support'
1202296892719161346x,2019-12-04 18:41:31,b'@kj_brent this motherfucker is a real class act.'
1202284367118094338x,2019-12-04 17:51:45,b'RT @FABNEWYORK: The highest human act is to inspire...'
1202267368325468160x,2019-12-04 16:44:12,b'@piamuehlenbeck https://t.co/F6rfIFkvPj'
1202037877263257602x,2019-12-04 01:32:17,b'RT @MKBHD: NEW VIDEO - Favorite Tech of the Year Rewind Collab! https://t.co/BSVbXtlep7 - RT! https://t.co/sjl11MDN6I'
1202000350225555456x,2019-12-03 23:03:10,b'so I finally got to fly in the Etihad 3 room airplane seat.  the seat had 3 rooms. 3 rooms for 1 \xf0\x9f\x92\xba.  It was everyth\xe2\x80\xa6 https://t.co/17HneGNi1P'
1201825994669117442x,2019-12-03 11:30:20,b'RT @YouTube: Ever wonder what it would have been like to be a YouTuber in 1985?\n\nWatch the first episode of #RetroTechMKBHD to see @MKBHD a\xe2\x80\xa6'
1201707622501683202x,2019-12-03 03:39:58,b'\xf0\x9f\x9a\xa8 https://t.co/9iHvNF5mNK'
1201707521481805824x,2019-12-03 03:39:34,b'\xf0\x9f\x90\xb8 https://t.co/n8nKo13np2'
1201473311437443072x,2019-12-02 12:08:54,b'@linzasaur @PRJournoRequest I have thoughts'
1201452444439502848x,2019-12-02 10:45:59,"b'He has left the building and I did not, I did not, get the selfie https://t.co/MOGZuGwLF4'"
1201423556632076288x,2019-12-02 08:51:11,b'https://t.co/FjQ4IqiMjm'
1201423309331718151x,2019-12-02 08:50:12,b'Steven Seagal is sitting next to me. Hes just as awesome looking as you\xe2\x80\x99d imagine.  Do I ask for selfie ?'
1201146802172551170x,2019-12-01 14:31:28,"b'\xf0\x9f\x8f\x8e with one of my favorite people, Maps #AbuDhabiGP https://t.co/dIb3gA2Lzg'"
1201143708026122240x,2019-12-01 14:19:10,b'my wife https://t.co/2loQJ4qrDY'
